Tick	CurrentTask ID	NextTask ID	# of ctx switch
 0	***********	task( 1)( 0)	 0
 0	task( 1)( 0)	task( 2)( 0)	 1
 0	task( 2)( 0)	task( 3)( 0)	 2
 0	task( 3)( 0)	task(63)	 3
 3	task(63)	task( 1)( 1)	 4
 3	task( 1)( 1)	task(63)	 5
 5	task(63)	task( 2)( 1)	 6
 5	task( 2)( 1)	task(63)	 7
 6	task(63)	task( 1)( 2)	 8
 6	task( 1)( 2)	task(63)	 9
 7	task(63)	task( 3)( 1)	10
 7	task( 3)( 1)	task(63)	11
 9	task(63)	task( 1)( 3)	12
 9	task( 1)( 3)	task(63)	13
10	task(63)	task( 2)( 2)	14
10	task( 2)( 2)	task(63)	15
12	task(63)	task( 1)( 4)	16
12	task( 1)( 4)	task(63)	17
14	task(63)	task( 3)( 2)	18
14	task( 3)( 2)	task(63)	19
15	task(63)	task( 1)( 5)	20
15	task( 1)( 5)	task( 2)( 3)	21
15	task( 2)( 3)	task(63)	22
18	task(63)	task( 1)( 6)	23
18	task( 1)( 6)	task(63)	24
20	task(63)	task( 2)( 4)	25
20	task( 2)( 4)	task(63)	26
21	task(63)	task( 1)( 7)	27
21	task( 1)( 7)	task( 3)( 3)	28
21	task( 3)( 3)	task(63)	29
24	task(63)	task( 1)( 8)	30
24	task( 1)( 8)	task(63)	31
25	task(63)	task( 2)( 5)	32
25	task( 2)( 5)	task(63)	33
27	task(63)	task( 1)( 9)	34
27	task( 1)( 9)	task(63)	35
28	task(63)	task( 3)( 4)	36
28	task( 3)( 4)	task(63)	37
30	task(63)	task( 1)(10)	38
30	task( 1)(10)	task( 2)( 6)	39
30	task( 2)( 6)	task(63)	40
