Tick	CurrentTask ID	NextTask ID	# of ctx switch
 0	***********	task( 1)( 0)	 0
 0	task( 1)( 0)	task( 1)( 0)	 0
 0	task( 1)( 0)	task( 2)( 0)	 1
 1	task( 2)( 0)	task(63)	 2
 3	task(63)	task( 1)( 0)	 3
 3	task( 1)( 0)	task(63)	 4
 6	task(63)	task( 1)( 0)	 5
 6	task( 1)( 0)	task( 2)( 0)	 6
 6	task( 2)( 0)	task(63)	 7
 9	task(63)	task( 1)( 0)	 8
 9	task( 1)( 0)	task(63)	 9
11	task(63)	task( 2)( 0)	10
11	task( 2)( 0)	task(63)	11
12	task(63)	task( 1)( 0)	12
12	task( 1)( 0)	task(63)	13
15	task(63)	task( 1)( 0)	14
15	task( 1)( 0)	task(63)	15
16	task(63)	task( 2)( 0)	16
16	task( 2)( 0)	task(63)	17
18	task(63)	task( 1)( 0)	18
18	task( 1)( 0)	task(63)	19
21	task(63)	task( 1)( 0)	20
21	task( 1)( 0)	task( 2)( 0)	21
21	task( 2)( 0)	task(63)	22
24	task(63)	task( 1)( 0)	23
24	task( 1)( 0)	task(63)	24
26	task(63)	task( 2)( 0)	25
26	task( 2)( 0)	task(63)	26
27	task(63)	task( 1)( 0)	27
27	task( 1)( 0)	task(63)	28
30	task(63)	task( 1)( 0)	29
30	task( 1)( 0)	task(63)	30
